Mes,Epoca del año,Hojas,Flores,Hojarasca,ORP,S,P,Año,Propágulos,Region,Sitio,Franja
3,Seca,0.810860215,0.00116129,0.956731183,-297.05,48.75,0.8,2016,0,RBP,Peten Neyac,1
4,Seca,1.232537792,0,1.382591689,-284.125,51.75,,2016,0,RBP,Peten Neyac,1
5,Lluvia,1.067378796,0,1.185866912,-371.45,53.5,,2016,0,RBP,Peten Neyac,1
6,Lluvia,1.280477193,0,1.475775439,-307.375,54.25,1,2016,0,RBP,Peten Neyac,1
2,Seca,0.554684281,0.001603224,1.672619794,-309.075,55,5.2,2016,0,RBP,Río Verde,1
3,Seca,0.599005376,0.000201613,3.233024194,-310.55,58,0.8,2016,0,RBP,Río Verde,1
4,Seca,0.594761051,0.002417563,3.575065412,-286.625,62.5,,2016,0,RBP,Río Verde,1
5,Lluvia,0.868953028,0.002007168,4.144988681,-304.625,62.5,,2016,0,RBP,Río Verde,1
6,Lluvia,0.849894737,0,3.412508772,-251.4,59.25,1,2016,0,RBP,Río Verde,1
2,Seca,0.407536707,0.007111463,1.228514555,-333.2,53.75,24.4,2016,0,LT,Sabancuy,1
3,Seca,0.754226296,0.002936596,1.770475551,-330.15,54.25,3.1,2016,0,LT,Sabancuy,1
4,Seca,0.91551903,0,2.015085576,-301.425,57,,2016,0,LT,Sabancuy,1
5,Lluvia,0.806015126,0.047266553,1.607849359,-311.125,59.5,,2016,0.018743633,LT,Sabancuy,1
6,Lluvia,0.760701754,0.101754386,1.692807018,-321.1,54.25,152.4,2016,0.040350877,LT,Sabancuy,1
2,Seca,0.644109041,0,1.822373013,-325.25,46.25,24.4,2016,0,LT,Xibuja,1
3,Seca,0.594290723,0,2.29781802,-263.15,55.5,3.1,2016,0,LT,Xibuja,1
4,Seca,0.534376727,0,2.367626667,-255.525,54.5,,2016,0,LT,Xibuja,1
5,Lluvia,0.438325668,0,2.298424448,-182.55,47.75,,2016,0,LT,Xibuja,1
6,Lluvia,0.47245614,0,2.377719298,,,152.4,2016,0,LT,Xibuja,1
